256;16;5;0.019896;1.84253e-12
256;32;5;0.003747;1.83653e-12
256;64;5;0.003214;1.83631e-12
256;128;5;0.005536;1.83631e-12
256;256;5;0.003703;1.82832e-12
512;16;5;0.153462;7.32814e-12
512;32;5;0.022823;7.3187e-12
512;64;5;0.012645;7.3116e-12
512;128;5;0.021097;7.30471e-12
512;256;5;0.036326;7.29972e-12
1024;16;5;1.254580;2.91375e-11
1024;32;5;0.174161;2.91401e-11
1024;64;5;0.084791;2.91351e-11
1024;128;5;0.080371;2.91351e-11
1024;256;5;0.123174;2.91106e-11
2048;16;5;12.716013;1.16329e-10
2048;32;5;1.479793;1.16339e-10
2048;64;5;0.662224;1.16353e-10
2048;128;5;0.567528;1.16368e-10
2048;256;5;0.594267;1.16325e-10
4096;16;5;466.320062;4.66193e-10
4096;32;5;14.031630;4.66215e-10
4096;64;5;5.336541;4.66207e-10
4096;128;5;4.436653;4.6619e-10
4096;256;5;4.150576;4.66151e-10
