256;16;7;0.020035;1.84253e-12
256;32;7;0.003735;1.83653e-12
256;64;7;0.002990;1.83631e-12
256;128;7;0.005514;1.83631e-12
256;256;7;0.003729;1.82832e-12
512;16;7;0.152615;7.32814e-12
512;32;7;0.021338;7.3187e-12
512;64;7;0.009931;7.3116e-12
512;128;7;0.017260;7.30471e-12
512;256;7;0.036304;7.29972e-12
1024;16;7;1.267245;2.91375e-11
1024;32;7;0.163851;2.91401e-11
1024;64;7;0.063154;2.91351e-11
1024;128;7;0.063835;2.91351e-11
1024;256;7;0.124148;2.91106e-11
2048;16;7;12.475440;1.16329e-10
2048;32;7;1.381546;1.16339e-10
2048;64;7;0.489743;1.16353e-10
2048;128;7;0.413516;1.16368e-10
2048;256;7;0.464507;1.16325e-10
4096;16;7;537.487558;4.66193e-10
4096;32;7;13.051913;4.66215e-10
4096;64;7;3.951281;4.66207e-10
4096;128;7;3.193348;4.6619e-10
4096;256;7;3.024908;4.66151e-10
